,site_id,url,deal_type,city,zip_code,post_canton,accuracy,latitude,longitude,price_unit,price,property_type,living_space,rooms,perspective,year_built,outdoor_parking,indoor_parking,balcony,property_area,fireplace,pets_allowed,floor,wheelchair_accessible,ceiling_height,lift,cable_tv,last_renovation,floor_space,cubage,minergie_certified
4082,3000413827,https://www.homegate.ch/rent/3000413827,rent,Pfungen,8422,ZH,HIGH,47.5173964,8.640135899999999,Month,1720.0,APARTMENT,90.0,4.5,,1996.0,,,,,,1.0,2,,,,,2011.0,,,
4083,3000402477,https://www.homegate.ch/rent/3000402477,rent,Pfungen,8422,ZH,HIGH,47.5143577,8.643439599999999,Month,1760.0,APARTMENT,97.0,3.5,,1990.0,,,1.0,,1.0,,,,,,1.0,,,,
4084,3000359500,https://www.homegate.ch/rent/3000359500,rent,Weiach,8187,ZH,MEDIUM,47.5613394,8.428613799999999,Month,1780.0,APARTMENT,84.0,3.5,1.0,2015.0,1.0,1.0,1.0,,,1.0,1,1.0,,1.0,1.0,,,,
4085,2147851006,https://www.homegate.ch/rent/2147851006,rent,Weiach,8187,ZH,MEDIUM,47.5552965,8.4334095,Month,1790.0,APARTMENT,121.0,2.5,1.0,2011.0,,1.0,1.0,,,,3,,,1.0,1.0,,,,
4086,3000338847,https://www.homegate.ch/rent/3000338847,rent,Mettmenstetten,8932,ZH,HIGH,47.25919529999999,8.440753800000001,Month,1930.0,APARTMENT,140.0,4.0,1.0,1987.0,1.0,,1.0,,1.0,1.0,2,,,,,2019.0,140.0,,
4087,3000163748,https://www.homegate.ch/rent/3000163748,rent,Mettmenstetten,8932,ZH,HIGH,47.2471344,8.468097,Month,1960.0,APARTMENT,89.0,4.5,,,,,,,,,Ground,,,,,,,,
4088,3000435540,https://www.homegate.ch/rent/3000435540,rent,Unterlunkhofen,8918,AG,HIGH,47.3200374,8.3798929,Month,2175.0,APARTMENT,145.0,5.5,,,,,,,,,,,,,,,,,
4092,3000318662,https://www.homegate.ch/rent/3000318662,rent,Bachenbülach,8184,ZH,HIGH,47.5029846,8.5383669,Month,2060.0,APARTMENT,122.0,3.5,1.0,2016.0,1.0,,1.0,,,,2,,2.4,,1.0,2017.0,120.0,,
4096,3000345307,https://www.homegate.ch/rent/3000345307,rent,Affoltern am Albis,8910,ZH,HIGH,47.2782796,8.452492399999999,Month,2300.0,APARTMENT,126.0,5.5,,1996.0,,,,,,1.0,2,,,1.0,1.0,,,,
4097,3000427511,https://www.homegate.ch/rent/3000427511,rent,Affoltern am Albis,8910,ZH,HIGH,47.2761569,8.4524653,Month,2300.0,APARTMENT,125.0,3.5,,1968.0,1.0,1.0,,,,1.0,3,,,,1.0,,,330.0,
